ID;VERSION;VERSION_TIME;NAME;BRAND;STREET;HOUSE_NUMBER;POST_CODE;PLACE;PUBLIC_HOLIDAY_IDENTIFIER;LAT;LNG
bb262a44-fcd8-4558-bf11-e118f6d96a5d;9;"2015-04-27 12:00:04.000000";"Esso Tankstelle";ESSO;"BAHNHOFSTR. 42";" ";76744;WOERTH;\N;49.0470159;8.2716589
1ea13819-7ab5-4db7-930b-0ebfa74bf884;16;"2015-08-27 20:00:04.000000";Bruchhausen;BFT;"Landstr. ";1;76275;Ettlingen;\N;48.926729;8.3696509
f34f9241-6f55-48c6-aa4c-ee19f7272a22;23;"2015-08-27 20:00:04.000000";"Schmidt e. K.";BFT;Fuerst-Dominik-Str.;2;55758;Sien;\N;49.69482;7.5053499
53bd78c2-d1ce-49e4-a4a9-25b90d920b7f;24;"2015-08-27 20:00:04.000000";Durlach;BFT;"Auer Str. ";50;76227;Karlsruhe;\N;48.9951009;8.4624769
09a554ed-2565-47ee-87e4-cae0e39db53a;16;"2015-08-27 20:00:04.000000";Eggenstein;BFT;"Landstr. ";19;76344;Eggenstein;\N;49.082988;8.394477
26a8cf8b-6dc6-40a5-a77a-35056bb03278;16;"2015-08-27 20:00:04.000000";Rüppurr;BFT;"Battstr. ";2;76199;Karlsruhe;\N;48.966076;8.4052919
0a04c648-965f-45b0-9470-b05db049ed70;18;"2015-08-27 20:00:04.000000";"EFA Tankstellenbetriebe und Mineralölhandel GmbH";BFT;Hertzstraße;2;76275;Ettlingen;\N;48.94733;8.3826
f42f62ad-05df-42a7-ba25-ba0403762785;16;"2015-08-27 20:00:04.000000";Eggenstein;BFT;Hauptstr.;123;76344;Eggenstein;\N;49.0734899;8.39201
51d4b5b6-a095-1aa0-e100-80009459e03a;796;"2015-09-28 21:00:13.000000";"JET ANNWEILER ZWEIBRUECKER STR.";JET;"ZWEIBRUECKER STR.";\N;76855;ANNWEILER;\N;49.2043;7.95371
a0ad7e17-ff61-47cf-80b9-c17183527ee5;24;"2015-08-27 20:00:04.000000";"Zens Mineraloelhandels-GmbH";"Freie Tankstelle";"Obere Hardt ";1;76467;Bietigheim;\N;48.8899299;8.2668999
9b81b226-01ca-4065-b68e-ad616adcd293;17;"2015-09-20 12:32:34.000000";"AVIA Phillipsburg-Rheinsheim";AVIA;"Oskar-Frey-Str. ";30;76661;Phillipsburg;\N;49.2327;8.4168299
00060982-0001-4444-8888-acdcffffffff;5;"2014-11-03 00:00:06.000000";"Tankstelle Heinz";"Tankstelle Heinz";Fettweißstrasse;8;76189;Karlsruhe;\N;49.0089912;8.3274402
